id	term	definition	refs	seeAlso
EVE	Eve	According to the creation story in Genesis, the first woman; wife of Adam. God did not create man a solitary being; from the beginning, “male and female he created them” (Gen 1:29) (369, 375). Because she is the mother of the eternal Son of God made man, Jesus Christ the “new Adam,” Mary is called the “new Eve,” the “mother of the living” in the order of grace.	369,375,511	Adam
EVIL	Evil	The opposite or absence of good. One form of evil, physical evil, is a result of the “state of journeying” toward its ultimate perfection in which God created the world, involving the existence of the less perfect alongside the more perfect, the constructive and the destructive forces of nature, the appearance and disappearance of certain beings (310). Moral evil, however, results from the free choice to sin which angels and men have; it is permitted by God, who knows how to derive good from it, in order to respect the freedom of his creatures (311). The entire revelation of God’s goodness in Christ is a response to the existence of evil (309, 385, 1707). The devil is called the Evil One.	309,310,311,385,1707	Devil/Demon
EXAMINATION_OF_CONSCIENCE	Examination Of Conscience	Prayerful self-reflection on our words and deeds in the light of the Gospel to determine how we may have sinned against God. The reception of the Sacrament of Penance ought to be prepared for by such an examination of conscience.	1454	
EXCOMMUNICATION	Excommunication	A severe ecclesiastical penalty, resulting from grave crimes against the Catholic religion, imposed by ecclesiastical authority or incurred as a direct result of the commission of an offense. Excommunication excludes the offender from taking part in the Eucharist or other sacraments and from the exercise of any ecclesiastical office, ministry, or function.	1463	
EXODUS	Exodus	God’s saving intervention in history by which he liberated the Hebrew people from slavery in Egypt, made a covenant with them, and brought them into the Promised Land. The Book of Exodus, the second of the Old Testament, narrates this saving history (62). The exodus is commemorated by the Jewish people at Passover, which for Christians is a foreshadowing of the “passover” of Jesus Christ from death to life and is celebrated in the memorial of the Eucharist.	62,1363	
EXORCISM	Exorcism	The public and authoritative act of the Church to protect or liberate a person or object from the power of the devil (e.g., demonic possession) in the name of Christ (1673). A simple exorcism prayer in preparation for Baptism invokes God’s help in overcoming the power of Satan and the spirit of evil.	1237,1673	
EXPIATION	Expiation	The act of redemption and atonement for sin which Christ won for us by the pouring out of his blood on the cross, by his obedient love “even to the end” (Jn 13:1) (433, 616, 1475). The expiation of sins continues in the mystical Body of Christ and the communion of saints by joining our human acts of atonement to the redemptive action of Christ, both in this life and in Purgatory.	433,616,1475	
EXTREME_UNCTION	Extreme Unction			Anointing of the Sick
FAITH	Faith	Both a gift of God and a human act by which the believer gives personal adherence to God who invites his response, and freely assents to the whole truth that God has revealed. It is this revelation of God which the Church proposes for our belief, and which we profess in the Creed, celebrate in the sacraments, live by right conduct that fulfills the twofold commandment of charity (as specified in the ten commandments), and respond to in our prayer of faith. Faith is both a theological virtue given by God as grace, and an obligation which flows from the first commandment of God.	26,142,150,1814,2087	
FAITHFUL__THE_CHRISTIAN	Faithful, The Christian	Those who have been incorporated into Christ in Baptism and constituted as the people of God, the Church (871). The term “lay faithful” refers to the laity, all the faithful except those in Holy Orders and those who belong to a religious state approved by the Church.	871,897	
FALL	Fall	(1) Biblical revelation about the reality of sin in human history. The Biblical story begins with the original sin freely committed by the first human beings. This primeval event is narrated in figurative language in the Book of Genesis, which describes this sin as a “fall” from God’s friendship and grace, which they had received from God not only for themselves but for the whole human race (388, 390). (2) In the “fall” of angels, Scripture and Church tradition see the emergence of Satan and the “devil”; the “fall” of these angelic spirits was due to their freely chosen rejection of God and His reign.	1,2,388,390,391,392	
FASTING	Fasting	Refraining from food and drink as an expression of interior penance, in imitation of the fast of Jesus for forty days in the desert. Fasting is an ascetical practice recommended in Scripture and the writings of the Church Fathers; it is sometimes prescribed by a precept of the Church, especially during the liturgical season of Lent.	538,1434,2043	
FATHER__GOD_THE	Father, God The	God, the first Person of the Blessed Trinity. Jesus revealed that God is Father in a unique way: not only as Creator, the origin of all things, but also as eternal Father in his relationship to his only Son, who is eternally begotten of the Father and consubstantial with the Father.	240,242	
FATHERS_OF_THE_CHURCH	Fathers Of The Church	Church teachers and writers of the early centuries whose teachings are a witness to the Tradition of the Church.	78,688	
FEAR_OF_THE_LORD	Fear Of The Lord	One of the seven gifts of the Holy Spirit which ensures our awe and reverence before God.	1831	
FEAST_DAYS	Feast Days	The annual cycle of liturgical celebrations commemorating the saving mysteries of Christ’s life, as a participation in the Paschal Mystery, which is celebrated annually at Easter, the “Feast of feasts.” Feast days commemorating Mary, the Mother of God, and the saints are also celebrated, providing the faithful with examples of those who have been glorified with Christ.	1169,1173	
FILIOQUE	Filioque	A word meaning “and (from) the Son,” added to the Latin version of the Niceno-Constantinopolitan Creed, by which the Latin tradition of the Creed confesses that the Holy Spirit “proceeds from the Father and the Son”.	246	
FORNICATION	Fornication	Sexual intercourse between an unmarried man and an unmarried woman. Fornication is a serious violation of the sixth commandment of God.	2353	
FORTITUDE	Fortitude	One of the four cardinal moral virtues which ensures firmness in difficulties and constancy in doing the good (1808). Fortitude (sometimes called strength, courage, or might) is also one of the seven gifts of the Holy Spirit.	712,1299,1808	
FRUITS_OF_THE_HOLY_SPIRIT	Fruits Of The Holy Spirit	The perfections that the Holy Spirit forms in us as the “first fruits” of eternal glory. The tradition of the Church identifies twelve fruits of the Holy Spirit.	1832	
GENERAL_CONFESSION_AND_ABSOLUTION	General Confession And Absolution	A communal form of the Sacrament of Penance in which, in a case of grave necessity, a priest may give absolution to all persons present at one time, after they have made a general, but not individual, confession of their sins. For the absolution to be valid, the faithful must have the intention of individually confessing their sins in their next individual reception of the Sacrament of Penance.	1483	
GENESIS	Genesis	The first book of the Bible, which describes God’s creation of the world and humanity, and the drama of sin and the hope for salvation.	120,289,337,355	
GENUFLECTION	Genuflection	A reverence made by bending the knee, especially to express adoration of the Blessed Sacrament.	1378	
GIFTS_OF_THE_HOLY_SPIRIT	Gifts Of The Holy Spirit	Permanent dispositions that make us docile to follow the promptings of the Holy Spirit. The traditional list of seven gifts of the Spirit is derived from Isaiah 11:1-3: wisdom, understanding, knowledge, counsel, piety, fortitude, and fear of the Lord.	1830	
GLUTTONY	Gluttony	Overindulgence in food or drink. Gluttony is one of the seven capital sins.	1866	
GOD	God	The infinite divine being, one in being yet three Persons: Father, Son, and Holy Spirit. God has revealed himself as the “One who is,” as truth and love, as creator of all that is, as the author of divine revelation, and as the source of salvation.	198,279	
GODPARENT	Godparent	The sponsor of one who is baptized, who assumes a responsibility to assist the newly-baptized—child or adult—on the road of Christian life.	1255	
GOSPEL	Gospel	The “good news” of God’s mercy and love revealed in the life, death, and resurrection of Christ. It is this Gospel or good news that the Apostles, and the Church following them, are to proclaim to the entire world (571, 1964). The Gospel is handed on in the apostolic tradition of the Church as the source of all-saving truth and moral discipline (75). The four Gospels are the books written by the evangelists Matthew, Mark, Luke, and John, which have for their central object Jesus Christ, God’s incarnate Son: his life, teachings, Passion and glorification, and his Church’s beginnings under the Spirit’s guidance.	75,124,514,571,1964	
GOSPEL__LAW_OF_THE	Gospel, Law Of The	The New Law, prepared for by the Old Law in the time of the Old Covenant, is the perfection here on earth of the divine law, natural and revealed. It is the work of Christ, expressed particularly in the Sermon on the Mount, and of the Holy Spirit, by whose grace it becomes for us the interior law of charity.	1965	
GRACE	Grace	The free and undeserved gift that God gives us to respond to our vocation to become his adopted children. As sanctifying grace, God shares his divine life and friendship with us in a habitual gift, a stable and supernatural disposition that enables the soul to live with God, to act by his love. As actual grace, God gives us the help to conform our lives to his will. Sacramental grace and special graces (charisms, the grace of one’s state of life) are gifts of the Holy Spirit to help us live out our Christian vocation.	654,1996,2000	
GUARDIAN_ANGELS	Guardian Angels	Angels assigned to protect and intercede for each person.	336	Angel
HAIL_MARY	Hail Mary	The prayer known in Latin as the Ave Maria. The first part of the prayer praises God for the gifts he gave to Mary as Mother of the Redeemer; the second part seeks her maternal intercession for the members of the Body of Christ, the Church, of which she is the Mother.	2676	
HAPPINESS	Happiness	Joy and beatitude over receiving the fulfillment of our vocation as creatures: a sharing in the divine nature and the vision of God. God put us into the world to know, love, and serve him, and so come to the happiness of paradise.	1720	
HEAVEN	Heaven	Eternal life with God; communion of life and love with the Trinity and all the blessed. Heaven is the state of supreme and definitive happiness, the goal of the deepest longings of humanity.	1023	
HELL	Hell	The state of definitive self-exclusion from communion with God and the blessed, reserved for those who refuse by their own free choice to believe and be converted from sin, even to the end of their lives.	1033	
HERESY	Heresy	The obstinate denial after Baptism of a truth which must be believed with divine and Catholic faith.	465,2089	
HERMIT	Hermit	One who lives the eremitical life. Through silence and solitude, in prayer and penance, the hermit or anchorite vows, although not necessarily publicly, to follow the evangelical counsels out of love for God and desire for the salvation of the world.	920	
HIERARCHY	Hierarchy	The Apostles and their successors, the college of bishops, to whom Christ gave the authority to teach, sanctify, and rule the Church in his name.	873	
HIERARCHY_OF_TRUTHS	Hierarchy Of Truths	The order (hierarchy) of the truths in Catholic doctrine, insofar as they vary in their relation to the central mystery and foundation of Christian faith, the mystery of the Holy Trinity.	90,234	
HOLY_DAYS_OF_OBLIGATION	Holy Days Of Obligation	Principal feast days on which, in addition to Sundays, Catholics are obliged by Church law to participate in the Eucharist; a precept of the Church.	2043,2180	
HOLY_ORDERS	Holy Orders			Orders|Holy
HOLY_SEE	Holy See	The seat of the central administration of the worldwide Catholic Church; the name is taken from the seat or diocese of the Pope, Bishop of Rome and successor of St. Peter as Vicar of Christ and pastor of the universal Church.	882	
HOLY_SPIRIT	Holy Spirit	The third divine Person of the Blessed Trinity, the personal love of Father and Son for each other. Also called the Paraclete (Advocate) and Spirit of Truth, the Holy Spirit is at work with the Father and the Son from the beginning to the completion of the divine plan for our salvation.	152,243,685	
HOLY_WATER	Holy Water	Blessed water, a sacramental whose sprinkling or use is a reminder of Baptism and a means of sanctification.	1668	
HOLY_WEEK	Holy Week	The week preceding Easter, beginning with Palm (Passion) Sunday, called the “Great Week” in the liturgies of the Eastern Churches. It marks the Church’s annual celebration of the events of Christ’s Passion, death, and Resurrection, culminating in the Paschal Mystery.	1169	
HOMILY	Homily	Preaching by an ordained minister to explain the Scriptures proclaimed in the liturgy and to exhort the people to accept them as the Word of God.	132,1100,1349	
HOMOSEXUALITY	Homosexuality	Sexual attraction or orientation toward persons of the same sex and/or sexual acts between persons of the same sex. Homosexual acts are morally wrong because they violate God’s purpose for human sexual activity.	2357	
HOPE	Hope	The theological virtue by which we desire and expect from God both eternal life and the grace we need to attain it.	1817	
HUMILITY	Humility	The virtue by which a Christian acknowledges that God is the author of all good. Humility avoids inordinate ambition or pride, and provides the foundation for turning to God in prayer (2559). Voluntary humility can be described as “poverty of spirit”.	2546,2559	
HYMN	Hymn	Sacred poetry set to music and meant to raise the hearts of Christian people to God, especially during liturgical services.	1156	
HYPOSTATIC_UNION	Hypostatic Union	The union of the divine and human natures in the one divine Person (Greek: hypostasis) of the Son of God, Jesus Christ.	252,468	
ICON	Icon	Religious painting traditional among many Eastern Christians. Christian iconography expresses in images the same Gospel message that Scripture communicates by words.	1160	
ICONOCLASM	Iconoclasm	A heresy which maintained that veneration of religious images is unlawful. Iconoclasm was condemned as unfaithful to Christian tradition at the Second Ecumenical Council of Nicaea in ad 787.	2131	
IDOLATRY	Idolatry	The divinization of a creature in place of God; the substitution of some one (or thing) for God; worshiping a creature (even money, pleasure, or power) instead of the Creator.	2112	
IMMACULATE_CONCEPTION	Immaculate Conception	The dogma proclaimed in Christian Tradition and defined in 1854, that from the first moment of her conception, Mary—by the singular grace of God and by virtue of the merits of Jesus Christ—was preserved immune from original sin.	491	
IMMORTALITY	Immortality	The quality of the spiritual human soul whereby it survives the death of the body and remains in existence without end, to be reunited with the body at the final resurrection.	366	
IMPEDIMENT	Impediment	An obstacle that makes a person ineligible for performing an act or receiving a sacrament, e.g., Holy Orders or Matrimony.	1635	
INCARNATION	Incarnation	The fact that the Son of God assumed human nature and became man in order to accomplish our salvation in that same human nature. Jesus Christ, the Son of God, the second Person of the Trinity, is both true God and true man, not part God and part man.	461,464	
INCREDULITY	Incredulity	The willful refusal to assent to revealed truth, or even the neglect of this truth.	2089	
INDULGENCE	Indulgence	The remission before God of the temporal punishment due to sin whose guilt has already been forgiven. A properly disposed member of the Christian faithful can obtain an indulgence under prescribed conditions through the help of the Church which, as the minister of redemption, dispenses and applies with authority the treasury of the satisfactions of Christ and the saints. An indulgence is partial if it removes part of the temporal punishment due to sin, or plenary if it removes all punishment.	1471	
INERRANCY	Inerrancy	The attribute of the books of Scripture whereby they faithfully and without error teach that truth which God, for the sake of our salvation, wished to have confided through the Sacred Scriptures.	107	
INFALLIBILITY	Infallibility	The gift of the Holy Spirit to the Church whereby the pastors of the Church, the pope and bishops in union with him, can definitively proclaim a doctrine of faith or morals for the belief of the faithful (891). This gift is related to the inability of the whole body of the faithful to err in matters of faith and morals.	92,891	
INITIATION__CHRISTIAN	Initiation, Christian	The foundations of every Christian life laid by the Sacraments of Baptism, Confirmation, and Eucharist. The process by which a non-baptized person is prepared to become a full member of the Church is called the catechumenate, which was restored in the Latin Church by the Second Vatican Council, and whose distinct stages and rites are found in the Rite of Christian Initiation of Adults.	1212,1230	
INSPIRATION	Inspiration			Biblical Inspiration
INSTITUTE__RELIGIOUS	Institute, Religious	A society whose members, in accord with Church law, live a life consecrated to Christ and shared with one another by the public profession of the evangelical counsels of poverty, chastity, and obedience.	925	Consecrated Life
INSTITUTE__SECULAR	Institute, Secular	A form of consecrated life in which the Christian faithful living in the world strive for the perfection of charity and work for the sanctification of the world especially from within.	928	
INTERCESSION	Intercession	A form of prayer of petition on behalf of others. The prayer of intercession leads us to pray as Christ, our unique Intercessor, prayed.	2634	
INTERCOMMUNION	Intercommunion	Participation or sharing in the reception of the Eucharist or Holy Communion by Christians who are not fully united to or in full communion with the Catholic Church.	1398	
IRRELIGION	Irreligion	A vice contrary by defect to the virtue of religion. Irreligion directs us away from rendering to God what we as creatures owe him in justice.	2095,2110	
ISRAEL	Israel	The Jewish people, chosen by God to be his people and named after Israel (Jacob), from whose twelve sons the tribes of Israel descend. God formed Israel into his priestly people in their exodus from the slavery of Egypt, when he made the first or Old Covenant with them and gave them his Law through Moses.	62	
JESUS_CHRIST	Jesus Christ	The eternal Son of God, who was born of the Virgin Mary, suffered crucifixion and death, rose from the dead and ascended into heaven, and will come again in glory to judge the living and the dead. “Jesus,” which means “God saves” in Hebrew, was the name given to him at the Annunciation; “Christ” is a title which comes from the Greek translation of the Hebrew Messiah and means “anointed”.	184,430,436,727	
JOHN_THE_BAPTIST	John The Baptist	The immediate precursor or herald of Jesus. John identified Jesus as the Messianic Lamb of God and baptized him in the Jordan River. With prophetic power, John gave witness to Jesus by his preaching, by the baptism of conversion he announced, and finally by his martyrdom.	523,720	
JUDGMENT	Judgment	The eternal retribution received by each soul at the moment of death, in accordance with that person’s faith and works (“the particular judgment”) (1021-1022). The “Last Judgment” is God’s triumph over the revolt of evil, after the final cosmic upheaval of this passing world. Preceded by the resurrection of the dead, it will coincide with the second coming of Christ in glory at the end of time, disclose good and evil, and reveal the meaning of salvation history and the providence of God by which justice has triumphed over evil.	677,678,679,1021,1022,1038	
JUDGMENT__RASH	Judgment, Rash	A fault against the eighth commandment committed by one who assumes the moral fault of the neighbor to be true without sufficient foundation.	2477	
JUSTICE	Justice	The cardinal moral virtue which consists in the constant and firm will to give their due to God and to neighbor (1807). Original justice refers to the state of holiness in which God created our first parents (375). Commutative justice, which obliges respect for the rights of the other, is required by the seventh commandment; it is distinguished from legal justice, which concerns what the citizen owes to the community, and distributive justice, which regulates what the community owes its citizens in proportion to their contributions and needs.	375,1807,2411	Social Justice
JUSTIFICATION	Justification	The gracious action of God which frees us from sin and communicates “the righteousness of God through faith in Jesus Christ” (Rom 3:22). Justification is not only the remission of sins, but also the sanctification and renewal of the interior man.	1987,1988,1989	
KINGDOM_OF_GOD	Kingdom Of God (of Heaven)	The reign or rule of God: “the kingdom of God is . . . righteousness and peace and joy in the Holy Spirit” (Rom 14:17). The Kingdom of God draws near in the coming of the Incarnate Word; it is announced in the Gospel; it is the messianic Kingdom, present in the person of Jesus, the Messiah; it remains in our midst in the Eucharist. Christ gave to his Apostles the work of proclaiming the Kingdom, and through the Holy Spirit forms his people into a priestly kingdom, the Church, in which the Kingdom of God is mysteriously present, for she is the seed and beginning of the Kingdom on earth. In the Lord’s Prayer (“Thy Kingdom come”) we pray for its final glorious appearance, when Christ will hand over the Kingdom to his Father.	541,542,543,544,545,546,547,548,549,550,551,552,553,554,709,763,2816,2819	
LAITY	Laity	The faithful who, having been incorporated into Christ through Baptism, are made part of the people of God, the Church. The laity participate in their own way in the priestly, prophetic, and kingly functions of Christ. Laity are distinguished from clergy (who have received Holy Orders) and those in consecrated life.	897	
LAST_JUDGMENT	Last Judgment			Judgment
LAST_SUPPER	Last Supper	The last meal, a Passover supper, which Jesus ate with his disciples the night before he died. Jesus’ passing over to his Father by his death and Resurrection, the new Passover, is anticipated in the Last Supper and celebrated in the Eucharist, which fulfills the Jewish Passover and anticipates the final Passover of the Church in the glory of the kingdom. Hence the Eucharist is called “the Lord’s Supper”.	610,611,1329,1340	
LATIN_RITE	Latin Rite	The traditions of liturgy, laws, and practice in the Church in the West, as distinct from the rites and practices of the churches of the East.	1203	
LAW__MORAL	Law, Moral	A rule of conduct established by competent authority for the common good. In biblical terms, the moral law is the fatherly instruction of God, setting forth the ways which lead to happiness and proscribing those which lead to evil. The divine or eternal law can be either natural or revealed (positive). Natural moral law is inscribed in the heart, and known by human reason. Revealed law is found in the ancient law (Old Testament), notably the ten commandments, and in the new law (Law of the Gospel), the teaching of Christ, notably the Sermon on the Mount, which perfects the ancient law.	1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974	
LECTIONARY_LECTOR	Lectionary/lector	The official, liturgical book (lectionary) from which the reader (lector) proclaims the Scripture readings used in the Liturgy of the Word.	1154	
LENT	Lent	The liturgical season of forty days which begins with Ash Wednesday and ends with the celebration of the Paschal Mystery (Easter Triduum). Lent is the primary penitential season in the Church’s liturgical year, reflecting the forty days Jesus spent in the desert in fasting and prayer.	540,1095,1438	
LIFE	Life	Both God’s gift of created human life and His divine life given to us as sanctifying grace. Beyond its ordinary meaning of human life, Jesus used “life” to signify a share in his own divine Trinitarian existence, which becomes possible for those who respond to his invitation to turn away from sin and open their hearts to God’s abiding love. Eternal life signifies that this gift will last forever in the blessedness of heaven. This gift of God begins with the “life” of faith and “new life” of Baptism (1225), is communicated in sanctifying grace (1997), and reaches perfection in the communion of life and love with the Holy Trinity in heaven.	1023,1225,1997	
LITURGICAL_YEAR	Liturgical Year	The celebration throughout the year of the mysteries of the Lord’s birth, life, death, and Resurrection in such a way that the entire year becomes a “year of the Lord’s grace.” Thus the cycle of the liturgical year and the great feasts constitute the basic rhythm of the Christian’s life of prayer, with its focal point at Easter.	1168	
LITURGY	Liturgy	In its original meaning, a “public work” or service done in the name of or on behalf of the people. Through the liturgy Christ our High Priest continues the work of our redemption through the Church’s celebration of the Paschal Mystery by which he accomplished our salvation.	1067,1068,1069	
LORD	Lord	The Old Testament title for God that in speaking or reading aloud was always substituted for the name that was revealed to Moses and that was too holy to be pronounced: Yahweh. The New Testament uses this title both of God the Father and—in a new way—of Jesus, the incarnate Word.	209,446	
LORD_S_PRAYER	Lord'S Prayer	The title early Christians gave to the prayer which Jesus entrusted to his disciples and to the Church (Mt 6:9-13). This fundamental Christian prayer is also called the “Our Father,” which are its first words.	2759	
LOVE	Love			Charity
MAGI	Magi	The wise men who came from the East to pay homage to the newborn Savior.	528	
MAGISTERIUM	Magisterium	The living, teaching office of the Church, whose task it is to give an authentic interpretation of the word of God, whether in its written form (Sacred Scripture), or in the form of Tradition. The Magisterium ensures the Church’s fidelity to the teaching of the Apostles in matters of faith and morals.	85,890,2033	
MARKS_OF_THE_CHURCH	Marks (notes) Of The Church	The four attributes (marks or notes) of the Church mentioned in the Nicene-Constantinopolitan creed: “We believe in one, holy, catholic, and apostolic Church”.	811	
MARRIAGE	Marriage	A covenant or partnership of life between a man and woman, which is ordered to the well-being of the spouses and to the procreation and upbringing of children. When validly contracted between two baptized people, marriage is a sacrament (Matrimony).	1601	
MARTYR	Martyr	A witness to the truth of the faith, in which the martyr endures even death to be faithful to Christ. Those who die for the faith before having received Baptism are said to have received a “baptism of blood,” by which their sins are forgiven and they share in the death and Resurrection of Christ.	1258,2473	
MARY	Mary	The mother of Jesus. Because she is the mother of Jesus—Son of God and second Person of the Blessed Trinity—according to the flesh, she is rightly called the Mother of God (Theotokos) (148, 495). Mary is also called “full of grace,” and “Mother of the Church,” and in Christian prayer and devotion, “Our Lady,” the “Blessed Virgin Mary,” and the “New Eve”.	148,495,722,726,963	Virgin Mary
MASS	Mass	The Eucharist or principal sacramental celebration of the Church, established by Jesus at the Last Supper, in which the mystery of our salvation through participation in the sacrificial death and glorious Resurrection of Christ is renewed and accomplished. The Mass renews the paschal sacrifice of Christ as the sacrifice offered by the Church. It is called “Mass” (from the Latin missa) because of the “mission” or “sending” with which the liturgical celebration concludes (Latin: “Ite, Missa est.”).	1088,1332,1382,2192	Eucharist; Paschal Mystery/Sacrifice
MATRIMONY	Matrimony			Marriage
MEDIATOR_MEDIATRIX	Mediator/mediatrix	One who links or reconciles separate or opposing parties. Thus Jesus Christ is the “one mediator between God and the human race” (1 Tim 2:5). Through his sacrificial offering he has become high priest and unique mediator who has gained for us access to God’s saving grace for humanity. Moreover, Mary too is sometimes called Mediatrix in virtue of her cooperation in the saving mission of Christ, who alone is the unique mediator between God and humanity.	618,970,1544	
MEDITATION	Meditation	An exercise and a form of prayer in which we try to understand God’s revelation of the truths of faith and the purpose of the Christian life, and how it should be lived, in order to adhere and respond to what the Lord is asking.	2705	
MERCY	Mercy	The loving kindness, compassion, or forbearance shown to one who offends (e.g., the mercy of God to us sinners).	1422,1829	Works of Mercy
MERIT	Merit	The reward which God promises and gives to those who love him and by his grace perform good works. One cannot “merit” justification or eternal life, which are the free gift of God; the source of any merit we have before God is due to the grace of Christ in us.	2006	
MESSIAH	Messiah	A Hebrew word meaning “anointed”.	436	Christ; Jesus Christ
MINISTRY	Ministry	The service or work of sanctification performed by the preaching of the word and the celebration of the sacraments by those in Holy Orders (893, 1536), or in determined circumstances, by laity (903). The New Testament speaks of a variety of ministries in the Church; Christ himself is the source of ministry in the Church (873-874). Bishops, priests, and deacons are ordained ministers in the Church.	873,874,893,903,1536,1548	
MIRACLE	Miracle	A sign or wonder, such as a healing or the control of nature, which can only be attributed to divine power. The miracles of Jesus were messianic signs of the presence of God’s kingdom.	547	
MISSION	Mission	(1) Trinitarian missions: To accomplish the divine plan of the triune God for the redemption of humanity, the Son and the Holy Spirit were “sent” into the world: hence the Trinitarian “missions” (Latin missus means “sent”) (257, 689). (2) Apostolic mission: Just as he was sent by the Father, Jesus sent his Apostles into the world to continue his own saving mission (858). (3) Church as mission: Thus the Church is missionary by its very nature, continuing the mission or work of Christ through the Holy Spirit, according to the plan of God. This apostolic mission of the Church is fulfilled according to their different states of life by the clergy, laity, and religious (849, 863, 913). Missionary activity is sometimes given in a more specific sense as the work of initial evangelization and establishment of the Church in non-Christian lands.	1,2,3,257,689,849,858,863,913	
MONASTIC_LIFE	Monastic Life	Consecrated life marked by the public profession of religious vows of poverty, chastity, and obedience, and by a stable community life (in a monastery) with the celebration of the Liturgy of the Hours in choir.	927	
MORALITY	Morality	Referring to the goodness or evil of human acts. Human freedom makes a person a “moral subject” or agent, able to judge the morality (goodness or evil) of the acts which are chosen. The morality of human acts depends on the object (or nature) of the action, the intention or end foreseen, and the circumstances of the action.	407,1749	
MORTAL_SIN	Mortal Sin	A grave infraction of the law of God that destroys the divine life in the soul of the sinner (sanctifying grace), constituting a turn away from God. For a sin to be mortal, three conditions must be present: grave matter, full knowledge of the evil of the act, and full consent of the will.	1855,1857	
MOSES	Moses	The leader chosen by God to lead the Israelites out of their exile in Egypt. To him God revealed the divine name (Yahweh) and the law on Mount Sinai (including the Decalogue), by which he sealed the covenant with his people Israel (62, 204). As lawgiver, Moses was a type of Christ, the lawgiver of the New Law.	62,204	
MYSTAGOGY	Mystagogy	A liturgical catechesis which aims to initiate people into the mystery of Christ. In a more specific sense, the catechetical period following immediately after the reception of Baptism by adults.	1075	
NATURE	Nature	The created order (341). Human nature, though wounded and weakened by the effects of original sin, continues to participate in the goodness of God’s creative work (405). Through the Incarnation the second Person of the Trinity assumed our human nature, taking flesh in the womb of the Virgin Mary (456). The divine nature refers to the one divine substance or essence; each of the three distinct Persons of the Trinity is entirely God, who is one by the divine nature.	253,341,405,456	
NEW_COVENANT	New Covenant	The new “dispensation,” order or Covenant, established by God in Jesus Christ, to succeed and perfect the Old Covenant (cf. 612, 839). The New Law or Law of the Gospel is the perfection here on earth of the divine law, natural and revealed; this law of the New Covenant is called a law of love, grace, and freedom.	612,839,1965,1966,1967,1968,1969,1970,1971,1972	Covenant; Gospel|Law of the
NEW_TESTAMENT	New Testament	The twenty-seven books of the Bible written by the sacred authors in apostolic times, which have Jesus Christ, the incarnate Son of God—his life, teachings, Passion and glorification, and the beginnings of his Church—as their central theme. The promises and mighty deeds of God in the old alliance or covenant, reported in the Old Testament, prefigure and are fulfilled in the New Covenant established by Jesus Christ, reported in the sacred writings of the New Testament.	124,128	Bible; Covenant
NICENE_CREED	Nicene Creed	The profession of faith, common to the churches of East and West, which came from the first two ecumenical councils (Nicaea and Constantinople: ad 325 and 381).	195,196	Creed
NUPTIAL_BLESSING	Nuptial Blessing	Prayers for the blessing of a couple being married, especially of the bride.	1624	
OBEDIENCE	Obedience	(1) The submission to the authority of God which requires everyone to obey the divine law. Obedience to the Church is required in those things which pertain to our salvation; and obedience is due to legitimate civil authority, which has its origin in God for the sake of the common good and the order of society (1897). The fourth commandment obliges children to obey their parents (2216). (2) Obedience of faith: The first obedience is that of faith: to listen and freely submit to the word of God (144). (3) Obedience of Christ: Jesus Christ substituted his obedience to the will of his Father, even unto death, for the disobedience of sin, in order to bring us the grace of justification and to satisfy for our sins (615). (4) Vow of obedience: In imitation of this obedience of Jesus, as an evangelical counsel, the faithful may profess a vow of obedience; a public vow of obedience, accepted by Church authority, is one element that characterizes the consecrated life.	1,2,3,4,144,615,915,1897,2216	
OIKONOMIA	Oikonomia			Economy
OLD_COVENANT	Old Covenant	The old dispensation or order, which God established with his chosen people Israel, through the revelation of the Law to Moses.	1961	Covenant
OLD_TESTAMENT	Old Testament	The forty-six books of the Bible, which record the history of salvation from creation through the old alliance or covenant with Israel, in preparation for the appearance of Christ as Savior of the world.	120,121	Bible; Covenant
ORDERS__HOLY	Orders, Holy	The Sacrament of Apostolic Ministry by which the mission entrusted by Christ to his Apostles continues to be exercised in the Church through the laying on of hands. This sacrament has three distinct degrees or “orders”: deacon, priest, and bishop. All three confer a permanent, sacramental character.	1536	
ORDERS__RELIGIOUS	Orders, Religious			Consecrated Life; Institute|Religious
ORDINATION	Ordination	The rite of the Sacrament of Holy Orders by which the bishop, through the imposition of hands and the prayer of consecration, confers the order of bishop, priest, or deacon to exercise a sacred power which comes from Christ on behalf of the Church.	1538	
ORIGINAL_SIN	Original Sin	The sin by which the first human beings disobeyed the commandment of God, choosing to follow their own will rather than God’s will. As a consequence they lost the grace of original holiness, and became subject to the law of death; sin became universally present in the world. Besides the personal sin of Adam and Eve, original sin describes the fallen state of human nature which affects every person born into the world, and from which Christ, the “new Adam,” came to redeem us.	396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412	
ORTHODOX_CHURCHES	Orthodox Churches	Eastern Churches not in full communion with the Catholic Church. Christians of the Orthodox Churches are separated from the Catholic Church (schism), yet are in an imperfect but deep communion with the Catholic Church by reason of our common Baptism, the profession of the Creed, and the possession of true sacraments by reason of the apostolic succession of their priesthood.	838,1399	
OUR_FATHER	Our Father			Lord’s Prayer
OUR_LADY	Our Lady			Mary
